repo,archived,Country,Postal Code,State,University,altfooter,audience,authors,auto-migrated,city,code_repositories,contributors,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
OWASP/Threat-Modeling-Cheat-Sheets,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/german-owasp-day,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/SecureCodingDojo,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/owasp-avatao,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/owasp-summit-2017-Outcomes,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/Threat-Model-Project,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/Application-Security-Guide-For-CISOs-Project-v2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/Threat-Modeling-Lightweight-Process,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/sonarqube,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/Vulnerability-Reporting-Project,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OWASP/Threat-Modeling-Tools,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
